stamp,source,build,klass,actual,tc,conf,peak,fft90,op,bc,bcPk,peakR,aimR,pkOverAim,rOuterAim_widest,gOuterAim,gNoise,snrWidest,disagreePxWidest,polarMs,method
report_2026-04-30_10-14-44-086Z,xl-device,b114,XL,34,28,0.000,0,28,13,11,2,0,450,0.000,0,0.00,0.00,-,0,93,"fft90-fallback"
report_2026-04-30_10-17-03-115Z,xl-device,b114,XL,34,34,1.000,34,34,34,34,34,382,450,0.849,0,0.00,0.00,-,0,86,"bc-consensus+peak"
report_2026-04-30_10-19-19-295Z,xl-device,b114,XL,36,37,0.931,37,36,35,36,36,395,450,0.878,364,22.09,25.90,0.853,31,92,"bc-consensus+peak+pap1059-chainring-tc-confirmed"
report_2026-04-30_10-23-07-161Z,xl-device,b114,XL,36,36,0.908,36,36,36,36,36,395,450,0.878,0,0.00,0.00,-,0,89,"bc-consensus+peak+pap1059-chainring-tc-confirmed"
report_2026-05-01_08-22-10-875Z,xl-device,b116,XL,52,13,0.000,13,13,21,46,27,382,450,0.849,0,0.00,0.00,-,0,94,"fft90-fallback+pap963-campa-bolt-abstain"
report_2026-05-01_08-24-01-784Z,xl-device,b116,XL,52,15,0.000,14,15,23,45,47,382,450,0.849,370,8.76,2.16,4.057,12,90,"fft90-fallback"
report_2026-05-01_08-26-34-045Z,xl-device,b116,XL,52,32,0.486,51,12,24,52,32,382,450,0.849,366,14.11,1.10,12.839,16,92,"retry-bc-peaks"
report_2026-05-01_08-28-32-755Z,xl-device,b116,XL,50,50,0.618,50,24,25,50,50,395,450,0.878,370,11.07,9.02,1.227,25,88,"bc-consensus+pap1059-chainring-tc-confirmed"
report_2026-05-01_08-30-59-457Z,xl-device,b116,XL,50,50,0.516,50,24,24,50,49,408,450,0.907,398,13.01,5.64,2.306,10,87,"bc-consensus"
report_2026-05-01_09-03-58-615Z,xl-device,b116,XL,48,48,0.768,48,12,14,48,48,408,450,0.907,367,10.92,1.48,7.360,41,95,"bc-consensus+peak"
report_2026-05-01_09-07-06-225Z,xl-device,b116,XL,42,42,0.411,42,42,20,40,17,395,450,0.878,398,14.80,0.97,15.301,3,85,"fft-agreement"
report_2026-05-01_09-09-19-262Z,xl-device,b116,XL,36,10,0.000,0,10,12,10,4,0,450,0.000,0,0.00,0.00,-,0,106,"fft90-fallback"
report_2026-05-01_14-52-05-858Z,xl-device,b117,XL,42,12,0.000,44,43,15,12,4,395,450,0.878,0,0.00,0.00,-,0,82,"bc-fft+pap963-campa-bolt-abstain"
report_2026-05-01_14-53-36-988Z,xl-device,b117,XL,42,42,1.000,42,42,42,42,42,395,450,0.878,0,0.00,0.00,-,0,93,"bc-consensus+peak"
report_2026-05-01_14-55-01-423Z,xl-device,b117,XL,42,42,0.738,42,42,21,42,42,395,450,0.878,371,23.73,1.60,14.824,24,86,"bc-consensus+peak"
