stamp,actual,bucket,tc,conf,correct,abstain,confidentWrong,offBy,budgetExhausted,runtime,method
2026-04-08_19-46-53-896Z,28,Large  21-28T,28,1.000,1,0,0,0,0,1661,
2026-04-08_19-49-12-150Z,24,Large  21-28T,20,0.000,0,1,0,4,0,2993,
2026-04-08_19-51-45-965Z,21,Large  21-28T,21,0.902,1,0,0,0,0,2201,
2026-04-08_19-54-20-313Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,2878,
2026-04-08_19-57-06-684Z,15,Small  9-15T,15,1.000,1,0,0,0,0,2802,
2026-04-08_19-57-29-323Z,15,Small  9-15T,15,1.000,1,0,0,0,0,1809,
2026-04-08_20-00-15-040Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2519,
2026-04-08_20-03-04-386Z,11,Small  9-15T,11,1.000,1,0,0,0,0,4215,
2026-04-11_17-06-39-977Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2252,
2026-04-11_17-08-43-082Z,15,Small  9-15T,15,1.000,1,0,0,0,0,2681,
2026-04-11_17-10-50-735Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,2012,
2026-04-11_17-17-26-759Z,24,Large  21-28T,24,0.970,1,0,0,0,0,2988,
2026-04-11_17-20-57-425Z,28,Large  21-28T,10,0.000,0,1,0,18,0,3516,
2026-04-13_09-18-08-473Z,28,Large  21-28T,0,0.000,0,1,0,28,0,2307,
2026-04-13_09-28-41-286Z,28,Large  21-28T,22,0.369,0,0,1,6,0,1485,
2026-04-13_09-30-06-934Z,24,Large  21-28T,24,0.554,1,0,0,0,0,1696,
2026-04-13_09-31-10-899Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,3315,
2026-04-13_09-32-02-352Z,15,Small  9-15T,15,1.000,1,0,0,0,0,1708,
2026-04-13_09-33-06-154Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2416,
2026-04-13_09-35-27-304Z,24,Large  21-28T,0,0.000,0,1,0,24,0,3568,
2026-04-13_09-38-00-648Z,28,Large  21-28T,10,0.000,0,1,0,18,0,3737,
2026-04-13_09-39-28-736Z,28,Large  21-28T,27,0.450,1,0,0,1,0,3133,
2026-04-16_11-22-08-032Z,18,Mid    16-20T,18,0.794,1,0,0,0,0,2782,
2026-04-16_11-23-11-824Z,11,Small  9-15T,11,0.727,1,0,0,0,0,2609,
