class,actual,stamp,peakR,bcCx,bcCy,anchorCx,anchorCy,tc,conf,innerSus,narrow_cv,narrow_iqr,narrow_bim,tight_cv,tight_iqr,tight_bim,narrow_n,tight_n
XL,52,2026-04-28_06-58-55-390Z,176,0,0,449.5,337.0,53,0.000,true,0.1472,0.1216,0.3139,0.1485,0.1092,0.3169,49402,35276
XL,34,2026-04-28_14-18-32-698Z,242,0,0,337.0,449.5,40,0.000,true,0.3232,0.2679,0.8877,0.3260,0.2804,0.8923,93382,66686
XL,42,2026-04-28_18-34-58-887Z,255,0,0,337.0,449.5,12,0.112,false,0.1317,0.0302,0.2303,0.1307,0.0294,0.2362,103672,74060
XL,52,2026-04-29_05-37-44-380Z,208,0,0,337.0,449.5,0,0.000,false,0.1370,0.0752,0.3056,0.1330,0.0717,0.3039,68990,49284
XL,42,2026-04-30_05-37-41-094Z,244,0,0,337.0,449.5,0,0.000,false,0.0533,0.0281,0.0510,0.0567,0.0251,0.0477,94920,67798
XL,34,2026-04-30_10-09-16-909Z,271,0,0,337.0,449.5,11,0.441,false,0.3348,0.3164,0.8679,0.3288,0.3256,0.8528,117074,83630
XL,34,2026-04-30_10-14-55-670Z,139,0,0,337.0,449.5,11,0.000,true,0.5952,1.0914,1.4799,0.6143,1.1961,1.6348,30814,22010
XL,34,2026-04-30_10-17-13-321Z,175,0,0,337.0,449.5,34,0.900,false,0.4712,0.9542,1.1635,0.4693,0.9108,1.0983,48828,34888
XL,36,2026-04-30_10-19-29-950Z,151,0,0,337.0,449.5,36,1.000,false,0.4625,0.7119,1.3281,0.4633,0.7198,1.3050,36358,25938
XL,32,2026-04-30_11-41-12-489Z,235,0,0,337.0,449.5,32,0.934,false,0.4997,0.7617,0.8998,0.4988,0.7695,0.9038,88030,62882
XL,32,2026-04-30_11-42-53-294Z,285,0,0,337.0,449.5,32,1.000,false,0.3297,0.1432,0.7807,0.3238,0.1299,0.7750,129484,92522
XL,50,2026-04-30_12-31-00-766Z,181,0,0,337.0,449.5,50,0.520,false,0.5354,1.4953,1.8095,0.5283,1.4652,1.7718,52210,37298
XL,48,2026-04-30_12-33-17-234Z,286,0,0,337.0,449.5,48,1.000,false,0.3977,0.5956,0.7924,0.4023,0.6180,0.7761,130432,93158
XL,48,2026-04-30_12-35-25-332Z,247,0,0,337.0,449.5,48,0.572,false,0.3445,0.1991,0.7961,0.3424,0.1858,0.7931,97264,69464
XL,50,2026-04-30_20-09-43-249Z,280,0,0,337.0,449.5,16,0.252,false,0.4779,0.6354,1.0804,0.4949,0.8586,1.0815,124960,89300
XL,52,2026-05-01_08-24-07-480Z,137,0,0,337.0,449.5,13,0.434,false,0.1252,0.1578,0.2848,0.1222,0.1545,0.2616,29932,21376
XL,50,2026-05-01_08-31-05-858Z,126,0,0,337.0,449.5,50,0.000,true,0.5805,0.5167,1.8643,0.5772,0.4824,1.8241,25304,18066
XL,48,2026-05-01_09-04-04-917Z,182,0,0,337.0,449.5,49,0.688,false,0.3019,0.5582,0.6118,0.2976,0.5468,0.6031,52816,37740
XL,36,2026-05-01_09-09-26-510Z,189,0,0,337.0,449.5,34,0.000,true,0.3845,0.6543,1.0055,0.3825,0.6200,0.9797,56952,40704
XL,48,2026-05-01_15-00-55-239Z,314,0,0,337.0,449.5,48,1.000,false,0.2744,0.1073,0.7188,0.2853,0.1054,0.7772,157188,112278
XL,50,2026-05-01_15-08-23-136Z,179,0,0,337.0,449.5,50,1.000,false,0.5870,1.5405,2.2340,0.5856,1.4692,2.2357,51098,36494
XL,36,2026-05-01_15-30-10-941Z,177,0,0,337.0,449.5,36,0.866,false,0.3913,0.6379,0.9045,0.3861,0.6073,0.8663,49948,35680
