stamp,actual,bucket,tc,conf,correct,abstain,confidentWrong,offBy,budgetExhausted,runtime,method
2026-04-04_09-09-24-950Z,15,Small  9-15T,15,1.000,1,0,0,0,0,1361,
2026-04-04_09-09-54-631Z,14,Small  9-15T,14,1.000,1,0,0,0,0,990,
2026-04-04_09-10-20-407Z,13,Small  9-15T,13,0.000,0,1,0,0,0,1010,
2026-04-04_09-10-51-656Z,11,Small  9-15T,17,0.121,0,0,1,6,0,1588,
2026-04-04_16-15-39-652Z,14,Small  9-15T,14,1.000,1,0,0,0,0,906,
2026-04-04_16-16-09-444Z,14,Small  9-15T,14,1.000,1,0,0,0,0,800,
2026-04-04_16-16-44-639Z,14,Small  9-15T,14,0.894,1,0,0,0,0,849,
2026-04-04_18-49-40-768Z,14,Small  9-15T,14,1.000,1,0,0,0,0,689,
2026-04-04_18-50-11-106Z,14,Small  9-15T,14,1.000,1,0,0,0,0,655,
2026-04-04_18-52-30-549Z,14,Small  9-15T,14,1.000,1,0,0,0,0,773,
2026-04-04_18-53-44-084Z,14,Small  9-15T,14,1.000,1,0,0,0,0,899,
2026-04-04_18-54-21-451Z,14,Small  9-15T,14,0.820,1,0,0,0,0,683,
2026-04-05_08-24-37-589Z,14,Small  9-15T,13,0.000,0,1,0,1,0,1249,
2026-04-05_08-25-08-743Z,14,Small  9-15T,14,1.000,1,0,0,0,0,1048,
2026-04-05_08-25-39-887Z,14,Small  9-15T,14,1.000,1,0,0,0,0,935,
2026-04-05_08-26-06-796Z,14,Small  9-15T,14,1.000,1,0,0,0,0,713,
2026-04-05_08-27-08-187Z,14,Small  9-15T,10,0.000,0,1,0,4,0,711,
2026-04-05_08-27-44-023Z,14,Small  9-15T,14,0.979,1,0,0,0,0,674,
2026-04-05_08-29-38-474Z,15,Small  9-15T,15,0.896,1,0,0,0,0,829,
2026-04-05_08-30-34-676Z,15,Small  9-15T,15,1.000,1,0,0,0,0,772,
2026-04-05_08-31-06-222Z,13,Small  9-15T,0,0.000,0,1,0,13,0,1133,
2026-04-05_08-31-34-725Z,13,Small  9-15T,0,0.000,0,1,0,13,0,1116,
2026-04-05_08-32-16-126Z,13,Small  9-15T,13,0.000,0,1,0,0,0,764,
2026-04-05_08-32-48-875Z,11,Small  9-15T,11,0.000,0,1,0,0,0,784,
2026-04-05_08-33-27-869Z,11,Small  9-15T,11,0.000,0,1,0,0,0,1140,
2026-04-05_08-34-06-051Z,11,Small  9-15T,11,0.000,0,1,0,0,0,804,
2026-04-05_13-27-32-499Z,14,Small  9-15T,14,1.000,1,0,0,0,0,907,
