class,actual,stamp,w,h,cx,cy,peakR,peakTc,bcTc,fft90,opTc,bcPeaks,tc,conf,innerSus,gearR,currentlyCorrect,lookable,magK,subRel3,subRel4,subRel5,subRel6,kSub3,kSub4,kSub5,kSub6,mode3,mode4,mode5,mode6
XL,42,2026-04-28_07-03-25-120Z,675,900,334,389,280,10,10,10,13,3,0,0.000,false,0.4148,false,true,6357.3350,1.9404,1.9404,1.7665,1.7665,3,3,2,2,tri,tri,single,single
XL,34,2026-04-28_14-18-32-698Z,675,900,267,300,242,11,12,40,24,10,40,0.000,true,0.3585,false,true,8228.7160,1.8613,2.4904,2.4904,2.4904,4,3,2,2,tri,tri,single,single
XL,52,2026-04-28_18-27-23-983Z,675,900,227,445,158,10,11,10,14,4,0,0.000,false,0.2341,false,true,8486.8234,0.7848,0.7848,0.7848,0.7848,3,3,2,2,tri,tri,single,single
Small,12,2026-04-29_05-18-37-310Z,675,900,341,383,166,12,12,12,12,12,12,1.000,false,0.2459,true,true,36028.0600,0.0934,0.1801,0.1801,0.1801,4,3,2,2,tri,tri,single,single
XL,42,2026-04-30_05-34-26-023Z,675,900,424,436,157,10,10,10,12,4,0,0.000,false,0.2326,false,true,4929.4948,1.3170,1.3170,1.3170,1.3170,3,3,2,2,tri,tri,single,single
Small,12,2026-04-30_05-41-00-183Z,675,900,335,381,161,12,12,12,12,12,12,1.000,false,0.2385,true,true,30288.4986,0.1587,0.1680,0.1680,0.1680,4,3,2,2,tri,tri,single,single
XL,34,2026-04-30_10-09-16-909Z,675,900,337,450,271,13,13,11,12,6,11,0.441,false,0.4015,false,true,10696.5783,0.5609,1.7970,1.7970,1.7970,4,3,3,2,tri,tri,tri,single
XL,34,2026-04-30_10-14-55-670Z,675,900,363,429,139,11,10,11,24,5,11,0.000,true,0.2059,false,true,12139.1553,0.9270,1.1315,1.1315,1.1315,4,3,2,2,tri,tri,single,single
XL,36,2026-04-30_10-23-20-845Z,675,900,336,384,236,10,36,20,10,35,36,1.000,false,0.3496,true,true,9292.5590,1.1004,1.1004,0.9176,0.9176,3,3,2,2,tri,tri,single,single
XL,32,2026-04-30_11-41-12-489Z,675,900,333,386,235,13,32,14,16,32,32,0.934,false,0.3481,true,true,2136.1336,1.4552,2.1163,2.1163,2.1163,4,3,3,2,tri,tri,tri,single
XL,32,2026-04-30_11-42-53-294Z,675,900,335,386,285,11,32,11,16,32,32,1.000,false,0.4222,true,true,9389.4919,1.0349,2.1764,2.1764,2.1764,4,3,2,2,tri,tri,single,single
XL,50,2026-04-30_12-31-00-766Z,675,900,339,388,181,51,50,10,13,50,50,0.520,false,0.2681,true,true,13591.8481,0.1222,0.1356,0.1160,0.1160,17,13,10,9,tri,tri,tri,tri
XL,48,2026-04-30_12-33-17-234Z,675,900,335,389,286,10,48,10,14,48,48,1.000,false,0.4237,true,true,13729.8020,1.1640,1.1640,0.4714,0.4714,3,3,2,2,tri,tri,single,single
XL,52,2026-04-30_20-03-52-567Z,675,900,331,391,177,52,10,10,13,1,52,0.000,true,0.2622,false,true,12740.8302,0.0765,0.0580,0.1032,0.0842,17,13,10,9,tri,tri,tri,tri
XL,48,2026-04-30_20-31-06-904Z,675,900,337,383,187,48,48,10,15,48,48,0.562,false,0.2770,true,true,14852.8384,0.1007,0.1014,0.1276,0.1555,16,12,10,8,tri,tri,tri,tri
XL,50,2026-05-01_08-28-38-224Z,675,900,335,382,238,10,50,12,12,50,50,1.000,false,0.3526,true,true,2840.3519,1.9730,1.9730,1.9730,1.9730,3,3,2,2,tri,tri,single,single
XL,48,2026-05-01_14-56-43-693Z,675,900,334,385,181,48,48,12,11,48,48,1.000,false,0.2681,true,true,17740.1333,0.0522,0.0608,0.0354,0.1392,16,12,10,8,tri,tri,tri,tri
XL,50,2026-05-01_15-06-20-161Z,675,900,331,383,184,49,50,24,50,50,50,0.565,false,0.2726,true,true,11896.5604,0.0909,0.0555,0.1234,0.0385,16,12,10,8,tri,tri,tri,tri
XL,36,2026-05-01_15-28-13-082Z,675,900,337,384,176,37,37,37,37,36,37,0.719,false,0.2607,false,true,15344.3318,0.0799,0.0620,0.1372,0.1372,12,9,7,6,tri,tri,tri,tri
