stamp,actual,bucket,tc,conf,correct,abstain,confidentWrong,offBy,budgetExhausted,runtime,method
2026-04-08_19-49-12-150Z,24,Large  21-28T,20,0.000,0,1,0,4,0,1194,
2026-04-08_19-51-45-965Z,21,Large  21-28T,21,0.902,1,0,0,0,0,1213,
2026-04-08_19-54-20-313Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,953,
2026-04-08_19-57-06-684Z,15,Small  9-15T,15,1.000,1,0,0,0,0,869,
2026-04-08_19-57-29-323Z,15,Small  9-15T,15,1.000,1,0,0,0,0,880,
2026-04-08_20-00-15-040Z,14,Small  9-15T,14,1.000,1,0,0,0,0,1023,
2026-04-08_20-03-04-386Z,11,Small  9-15T,11,1.000,1,0,0,0,0,794,
2026-04-11_17-06-39-977Z,14,Small  9-15T,14,1.000,1,0,0,0,0,719,
2026-04-11_17-08-43-082Z,15,Small  9-15T,15,1.000,1,0,0,0,0,914,
2026-04-11_17-10-50-735Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,1061,
2026-04-11_17-17-26-759Z,24,Large  21-28T,24,0.970,1,0,0,0,0,911,
2026-04-11_17-20-57-425Z,28,Large  21-28T,10,0.000,0,1,0,18,0,1315,
2026-04-13_09-18-08-473Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1072,
2026-04-13_09-28-41-286Z,28,Large  21-28T,22,0.369,0,0,1,6,0,1130,
2026-04-13_09-30-06-934Z,24,Large  21-28T,24,0.554,1,0,0,0,0,1260,
2026-04-13_09-31-10-899Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,798,
2026-04-13_09-32-02-352Z,15,Small  9-15T,15,1.000,1,0,0,0,0,666,
2026-04-13_09-33-06-154Z,14,Small  9-15T,14,1.000,1,0,0,0,0,745,
2026-04-13_09-35-27-304Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1330,
2026-04-13_09-38-00-648Z,28,Large  21-28T,10,0.000,0,1,0,18,0,1196,
2026-04-13_09-39-28-736Z,28,Large  21-28T,27,0.450,1,0,0,1,0,1344,
2026-04-16_11-22-08-032Z,18,Mid    16-20T,18,0.794,1,0,0,0,0,841,
2026-04-16_11-23-11-824Z,11,Small  9-15T,11,0.727,1,0,0,0,0,964,
2026-04-16_11-24-27-889Z,15,Small  9-15T,15,0.809,1,0,0,0,0,879,
2026-04-16_11-26-39-022Z,21,Large  21-28T,0,0.000,0,1,0,21,0,1218,
2026-04-16_11-28-05-397Z,24,Large  21-28T,24,0.407,1,0,0,0,0,1134,
2026-04-16_11-29-30-227Z,28,Large  21-28T,28,0.000,0,1,0,0,0,870,
2026-04-16_12-51-23-917Z,28,Large  21-28T,27,0.321,1,0,0,1,0,1388,
2026-04-17_10-56-48-692Z,15,Small  9-15T,15,0.722,1,0,0,0,0,823,
2026-04-17_10-57-40-821Z,21,Large  21-28T,21,0.584,1,0,0,0,0,1472,
2026-04-17_11-01-34-218Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1092,
2026-04-17_11-06-07-590Z,24,Large  21-28T,24,1.000,1,0,0,0,0,954,
2026-04-17_11-20-52-371Z,28,Large  21-28T,27,0.392,1,0,0,1,0,857,
2026-04-19_11-29-33-819Z,11,Small  9-15T,11,1.000,1,0,0,0,0,663,
2026-04-19_11-30-52-252Z,11,Small  9-15T,11,1.000,1,0,0,0,0,755,
2026-04-19_11-32-11-962Z,11,Small  9-15T,11,0.000,0,1,0,0,0,784,
2026-04-19_11-33-29-608Z,11,Small  9-15T,11,0.000,0,1,0,0,0,741,
2026-04-19_11-35-13-002Z,14,Small  9-15T,14,1.000,1,0,0,0,0,931,
2026-04-19_11-36-35-964Z,14,Small  9-15T,14,1.000,1,0,0,0,0,890,
2026-04-19_11-38-11-646Z,14,Small  9-15T,14,0.958,1,0,0,0,0,861,
2026-04-19_11-39-50-191Z,14,Small  9-15T,14,1.000,1,0,0,0,0,766,
2026-04-19_11-41-53-620Z,15,Small  9-15T,15,1.000,1,0,0,0,0,850,
2026-04-19_11-44-00-352Z,15,Small  9-15T,15,1.000,1,0,0,0,0,791,
2026-04-19_11-47-09-582Z,15,Small  9-15T,15,1.000,1,0,0,0,0,894,
2026-04-19_11-52-45-387Z,15,Small  9-15T,15,1.000,1,0,0,0,0,812,
2026-04-19_14-49-48-616Z,18,Mid    16-20T,18,0.000,0,1,0,0,0,662,
2026-04-19_14-52-42-470Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,654,
2026-04-19_14-53-55-150Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,647,
2026-04-19_14-55-07-474Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,897,
2026-04-19_14-56-58-230Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,942,
2026-04-19_14-59-13-044Z,24,Large  21-28T,24,1.000,1,0,0,0,0,939,
2026-04-19_15-00-49-192Z,24,Large  21-28T,24,1.000,1,0,0,0,0,872,
2026-04-19_15-14-02-261Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1515,
2026-04-19_15-18-58-719Z,21,Large  21-28T,21,0.671,1,0,0,0,0,2919,
2026-04-19_15-25-39-158Z,21,Large  21-28T,19,0.000,0,1,0,2,0,895,
2026-04-19_15-28-14-823Z,21,Large  21-28T,22,0.000,0,1,0,1,0,1376,
2026-04-19_15-30-17-488Z,21,Large  21-28T,11,0.000,0,1,0,10,0,1111,
2026-04-19_15-34-25-108Z,21,Large  21-28T,21,0.695,1,0,0,0,0,903,
2026-04-19_15-36-36-632Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1036,
2026-04-19_15-38-37-106Z,28,Large  21-28T,10,0.000,0,1,0,18,0,1163,
2026-04-19_15-40-54-450Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1018,
2026-04-19_15-42-38-634Z,28,Large  21-28T,27,0.000,0,1,0,1,0,776,
2026-04-19_15-44-52-340Z,28,Large  21-28T,10,0.000,0,1,0,18,0,1161,
2026-04-19_15-47-20-296Z,28,Large  21-28T,0,0.000,0,1,0,28,0,974,
2026-04-19_15-49-28-586Z,28,Large  21-28T,28,1.000,1,0,0,0,0,873,
2026-04-19_15-55-27-352Z,28,Large  21-28T,11,0.299,0,0,1,17,0,852,
2026-04-19_18-38-33-566Z,28,Large  21-28T,32,0.000,0,1,0,4,0,1052,
2026-04-19_18-40-16-373Z,28,Large  21-28T,28,1.000,1,0,0,0,0,804,
2026-04-19_18-42-36-869Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1276,
2026-04-19_18-44-38-938Z,28,Large  21-28T,27,0.514,1,0,0,1,0,1157,
2026-04-19_18-47-36-063Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1262,
2026-04-19_18-54-04-915Z,24,Large  21-28T,20,0.235,0,0,1,4,0,1414,
2026-04-19_18-56-13-322Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1182,
2026-04-19_19-03-10-890Z,24,Large  21-28T,10,0.000,0,1,0,14,0,978,
2026-04-19_19-09-53-902Z,24,Large  21-28T,24,1.000,1,0,0,0,0,852,
2026-04-19_19-16-13-389Z,21,Large  21-28T,21,0.769,1,0,0,0,0,1070,
2026-04-19_19-18-34-054Z,21,Large  21-28T,0,0.000,0,1,0,21,0,898,
2026-04-19_19-21-03-594Z,21,Large  21-28T,21,0.853,1,0,0,0,0,983,
