tdStamp,drDir,deltaMs,actual,klass,build,fullTC,fullConf,fullMethod,fullPeakR,fullROuter,crmTC,crmConf,crmMethod,crmPeakR,crmROuter,aimCircleFrac,sameTC,fullCorrect,crmCorrect
2026-04-30_12-33-17-234Z,report_2026-04-30_12-33-02-441Z,14793,48,XL,114,48,1.000,bc-consensus+pap1059-chainring-tc-confirmed,286,169,48,1.000,bc-consensus+peak,383,373,1,Y,Y,Y
2026-04-30_12-35-25-332Z,report_2026-04-30_12-35-13-949Z,11383,48,XL,114,48,0.572,bc-consensus+pap1059-chainring-tc-confirmed,247,177,48,1.000,bc-consensus,394,429,1,Y,Y,Y
2026-04-30_20-03-52-567Z,report_2026-04-30_20-03-45-995Z,6572,52,XL,116,52,0.000,fft90-fallback+xl-peak-override+pap961-aim-circle-prior-abstain,177,151,52,1.000,peak,389,331,1,Y,N,Y
2026-04-30_20-09-43-249Z,report_2026-04-30_20-09-36-928Z,6321,50,XL,116,16,0.252,fft90-fallback,280,125,50,0.826,bc-consensus+pap1059-chainring-tc-confirmed,400,190,1,N,N,Y
2026-04-30_20-31-06-904Z,report_2026-04-30_20-31-00-301Z,6603,48,XL,116,48,0.562,bc-consensus+pap1059-chainring-tc-confirmed,187,186,48,0.797,bc-consensus,414,411,1,Y,Y,Y
2026-05-01_08-22-17-365Z,report_2026-05-01_08-22-10-875Z,6490,52,XL,116,0,0.000,fft-agreement+mid-op-override+pap632-fft-floor-abstain,203,205,13,0.000,fft-agreement+pap961-aim-circle-prior-abstain,292,287,1,N,N,N
2026-05-01_08-24-07-480Z,report_2026-05-01_08-24-01-784Z,5696,52,XL,116,13,0.434,fft90-fallback,137,186,0,0.000,fft90-fallback+pap632-fft-floor-abstain+pap961-aim-circle-prior-abstain,249,254,1,N,N,N
2026-05-01_08-26-39-688Z,report_2026-05-01_08-26-34-045Z,5643,52,XL,116,10,0.000,fft-agreement,139,58,32,0.000,retry-bc-peaks,315,347,1,N,N,N
2026-05-01_08-28-38-224Z,report_2026-05-01_08-28-32-755Z,5469,50,XL,116,50,1.000,bc-consensus+pap1059-chainring-tc-confirmed,238,175,50,0.632,bc-consensus+pap1059-chainring-tc-confirmed,396,222,1,Y,Y,Y
2026-05-01_08-31-05-858Z,report_2026-05-01_08-30-59-457Z,6401,50,XL,116,50,0.000,bc-consensus+pap961-aim-circle-prior-abstain,126,184,50,0.733,bc-consensus+pap1059-chainring-tc-confirmed,305,369,1,Y,N,Y
2026-05-01_09-04-04-917Z,report_2026-05-01_09-03-58-615Z,6302,48,XL,116,49,0.688,bc-consensus+pap1059-chainring-tc-confirmed,182,180,48,1.000,bc-consensus+peak,401,400,1,N,N,Y
2026-05-01_09-07-12-086Z,report_2026-05-01_09-07-06-225Z,5861,42,XL,116,10,0.000,low-conf-consensus,189,186,42,0.493,fft-agreement,401,387,1,N,N,Y
2026-05-01_09-09-26-510Z,report_2026-05-01_09-09-19-262Z,7248,36,XL,116,34,0.000,bc-consensus+pap961-aim-circle-prior-abstain,189,152,10,0.000,fft90-fallback,299,232,1,N,N,N
2026-05-01_14-52-11-873Z,report_2026-05-01_14-52-05-858Z,6015,42,XL,117,41,0.000,bc-peaks,313,162,12,0.000,bc-fft+pap963-campa-bolt-abstain,374,441,1,N,N,N
2026-05-01_14-53-42-651Z,report_2026-05-01_14-53-36-988Z,5663,42,XL,117,42,0.848,bc-consensus+peak+pap1059-chainring-tc-confirmed,177,193,42,1.000,bc-consensus+peak,396,363,1,Y,Y,Y
2026-05-01_14-55-07-717Z,report_2026-05-01_14-55-01-423Z,6294,42,XL,117,42,0.694,bc-consensus+fft-agree+pap1059-chainring-tc-confirmed,176,195,42,0.688,bc-consensus+fft-agree,397,367,1,Y,Y,Y
2026-05-01_14-56-43-693Z,report_2026-05-01_14-56-37-862Z,5831,48,XL,117,48,1.000,bc-consensus+peak+pap1059-chainring-tc-confirmed,181,182,48,1.000,bc-consensus+peak,405,401,1,Y,Y,Y
2026-05-01_15-00-55-239Z,report_2026-05-01_15-00-42-140Z,13099,48,XL,117,48,1.000,bc-consensus+pap1059-chainring-tc-confirmed,314,181,48,1.000,bc-consensus+peak,404,400,1,Y,Y,Y
2026-05-01_15-04-02-875Z,report_2026-05-01_15-03-56-895Z,5980,48,XL,117,47,0.339,bc-consensus+pap1059-chainring-tc-confirmed,94,110,48,0.919,bc-consensus+pap1059-chainring-tc-confirmed,345,394,1,N,N,Y
2026-05-01_15-06-20-161Z,report_2026-05-01_15-06-13-796Z,6365,50,XL,117,50,0.565,bc-consensus+pap1059-chainring-tc-confirmed,184,180,50,1.000,bc-consensus+peak,404,394,1,Y,Y,Y
2026-05-01_15-08-23-136Z,report_2026-05-01_15-08-16-433Z,6703,50,XL,117,50,1.000,bc-consensus+peak+pap1059-chainring-tc-confirmed,179,176,50,1.000,bc-consensus+peak,389,390,1,Y,Y,Y
2026-05-01_15-10-32-571Z,report_2026-05-01_15-10-25-896Z,6675,50,XL,117,50,0.557,bc-consensus+pap1059-chainring-tc-confirmed,189,182,50,1.000,bc-consensus,421,403,1,Y,Y,Y
2026-05-01_15-12-33-142Z,report_2026-05-01_15-12-27-152Z,5990,52,XL,117,12,0.406,fft-agreement,157,87,36,0.000,retry-bc-peaks,294,206,1,N,N,N
2026-05-01_15-14-13-835Z,report_2026-05-01_15-14-08-511Z,5324,52,XL,117,0,0.000,fft90-fallback+pap632-fft-floor-abstain,56,32,38,0.000,retry-bc-peaks+pap961-aim-circle-prior-abstain,252,268,1,N,N,N
2026-05-01_15-20-31-778Z,report_2026-05-01_15-20-25-637Z,6141,52,XL,117,53,0.000,bc-consensus,250,163,52,0.686,retry-bc-consensus+chainring-pk+pap1059-chainring-tc-confirmed,288,325,1,N,N,Y
2026-05-01_15-22-03-978Z,report_2026-05-01_15-21-57-850Z,6128,52,XL,117,53,0.643,bc-consensus+fft-agree+pap1059-chainring-tc-confirmed,175,150,52,0.777,bc-consensus+fft-agree,387,370,1,N,N,Y
2026-05-01_15-28-13-082Z,report_2026-05-01_15-28-06-337Z,6745,36,XL,117,37,0.719,bc-consensus+peak+pap1059-chainring-tc-confirmed,176,99,30,0.000,fft90-fallback+pap961-aim-circle-prior-abstain,245,276,1,N,N,N
2026-05-01_15-30-10-941Z,report_2026-05-01_15-30-03-986Z,6955,36,XL,117,36,0.866,bc-consensus+peak+pap1059-chainring-tc-confirmed,177,119,30,0.000,fft90-fallback+pap961-aim-circle-prior-abstain,217,281,1,N,Y,N
2026-05-01_15-37-22-230Z,report_2026-05-01_15-37-16-032Z,6198,36,XL,117,38,0.000,bc-consensus+pap961-aim-circle-prior-abstain,183,122,36,1.000,bc-consensus+peak+pap1059-chainring-tc-confirmed,383,302,1,N,N,Y
2026-05-04_11-33-56-211Z,report_2026-05-04_11-33-42-106Z,14105,42,XL,120,43,0.000,bc-consensus,272,175,42,0.492,bc-consensus+fft-agree,396,386,1,N,N,Y
2026-05-04_11-40-26-313Z,report_2026-05-04_11-40-06-800Z,19513,23,Large,120,23,1.000,bc-consensus+peak,165,165,23,0.992,bc-consensus+peak,398,394,1,Y,Y,Y
2026-05-04_11-42-28-074Z,report_2026-05-04_11-42-16-970Z,11104,13,Small,120,13,0.000,bc-consensus+pap961-aim-circle-prior-abstain,210,99,13,1.000,bc-consensus+peak,301,226,1,Y,N,Y
2026-05-04_11-44-37-757Z,report_2026-05-04_11-44-26-249Z,11508,36,XL,120,35,0.000,fft90-fallback+xl-peak-override+pap961-aim-circle-prior-abstain,174,134,11,0.000,low-conf-consensus+pap961-aim-circle-prior-abstain,142,159,1,N,N,N
2026-05-04_11-46-43-304Z,report_2026-05-04_11-46-31-897Z,11407,36,XL,120,22,0.273,fft90-fallback+large-op-override,136,102,12,0.602,bc-consensus,400,370,1,N,N,N
2026-05-04_11-58-49-079Z,report_2026-05-04_11-58-36-536Z,12543,36,XL,120,10,0.000,fft90-fallback,49,69,10,0.000,bc-consensus,387,260,1,Y,N,N
