tdStamp,drDir,deltaMs,actual,build,head_tc,head_conf,head_method,head_peakR,head_rOuter,prev_tc,prev_conf,prev_method,prev_peakR,prev_rOuter,head_correct,prev_correct,delta_state,dir_flip,conf_delta
2026-05-01_15-06-20-161Z,report_2026-05-01_15-06-13-796Z,6365,50,117,50,1,bc-consensus+peak,404,394,50,1,bc-consensus+peak,404,394,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-01_15-08-23-136Z,report_2026-05-01_15-08-16-433Z,6703,50,117,50,1,bc-consensus+peak,389,390,50,1,bc-consensus+peak,389,390,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-01_15-10-32-571Z,report_2026-05-01_15-10-25-896Z,6675,50,117,50,1,bc-consensus,421,403,50,1,bc-consensus,421,403,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-01_15-12-33-142Z,report_2026-05-01_15-12-27-152Z,5990,52,117,36,0.5169,retry-bc-peaks,294,206,36,0,retry-bc-peaks,294,206,N,N,NO_CHANGE_WRONG,N,0.5169
2026-05-01_15-14-13-835Z,report_2026-05-01_15-14-08-511Z,5324,52,117,38,0,retry-bc-peaks+pap961-aim-circle-prior-abstain,252,268,38,0,retry-bc-peaks+pap961-aim-circle-prior-abstain,252,268,N,N,NO_CHANGE_ABSTAIN,N,0
2026-05-01_15-20-31-778Z,report_2026-05-01_15-20-25-637Z,6141,52,117,52,0.6859,retry-bc-consensus+chainring-pk+pap1059-chainring-tc-confirmed,288,325,52,0.6859,retry-bc-consensus+chainring-pk+pap1059-chainring-tc-confirmed,288,325,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-01_15-22-03-978Z,report_2026-05-01_15-21-57-850Z,6128,52,117,52,0.7774,bc-consensus+fft-agree,387,370,52,0.7774,bc-consensus+fft-agree,387,370,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-01_15-28-13-082Z,report_2026-05-01_15-28-06-337Z,6745,36,117,30,0,fft90-fallback+pap961-aim-circle-prior-abstain,245,276,30,0,fft90-fallback+pap961-aim-circle-prior-abstain,245,276,N,N,NO_CHANGE_ABSTAIN,N,0
2026-05-01_15-30-10-941Z,report_2026-05-01_15-30-03-986Z,6955,36,117,30,0,fft90-fallback+pap961-aim-circle-prior-abstain,217,281,30,0,fft90-fallback+pap961-aim-circle-prior-abstain,217,281,N,N,NO_CHANGE_ABSTAIN,N,0
2026-05-01_15-37-22-230Z,report_2026-05-01_15-37-16-032Z,6198,36,117,36,1,bc-consensus+peak,383,302,36,1,bc-consensus+peak+pap1059-chainring-tc-confirmed,383,302,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-04_11-33-56-211Z,report_2026-05-04_11-33-42-106Z,14105,42,120,42,0.492,bc-consensus+fft-agree,396,386,42,0.492,bc-consensus+fft-agree,396,386,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-04_11-44-37-757Z,report_2026-05-04_11-44-26-249Z,11508,36,120,11,0,low-conf-consensus+pap961-aim-circle-prior-abstain,142,159,11,0,low-conf-consensus+pap961-aim-circle-prior-abstain,142,159,N,N,NO_CHANGE_ABSTAIN,N,0
2026-05-04_11-46-43-304Z,report_2026-05-04_11-46-31-897Z,11407,36,120,12,0.6016,bc-consensus,400,370,12,0.6016,bc-consensus,400,370,N,N,NO_CHANGE_WRONG,N,0
2026-05-04_11-58-49-079Z,report_2026-05-04_11-58-36-536Z,12543,36,120,10,0,bc-consensus,387,260,10,0,bc-consensus,387,260,N,N,NO_CHANGE_ABSTAIN,N,0
