event_short,actualTC,b127_predTC,b127_conf,b127_method,head_tc,head_conf,head_method,head_offBy,head_outcome,runtime_ms
0959928d,32,32,0.8079,bc-consensus+fft-agree,32,0.8079,bc-consensus+fft-agree,0,CORRECT,35277
3219e927,36,16,0.1750,fft90-fallback,16,0.1750,fft90-fallback,20,CONFIDENT-WRONG,29151
d6b831de,36,36,1.0000,bc-consensus+peak,36,1.0000,bc-consensus+peak,0,CORRECT,24836
dd25a498,36,28,0.0000,fft90-fallback,28,0.2020,fft90-fallback,8,CONFIDENT-WRONG,32609
5b3a13d8,48,48,0.8819,bc-consensus+peak,48,0.8819,bc-consensus+peak,0,CORRECT,23817
01fdccfd,50,50,1.0000,bc-consensus,50,1.0000,bc-consensus,0,CORRECT,21152
625fd85d,52,51,0.9673,retry-bc-consensus+chainring-pk,51,0.9673,retry-bc-consensus+chainring-pk,1,CORRECT,35349
93bab076,52,12,0.0000,peak,12,0.0000,peak,40,ABSTAIN,24361
b17133f8,52,30,0.4692,retry-bc-peaks,30,0.4692,retry-bc-peaks,22,CONFIDENT-WRONG,34564
